knowledge_id,category,title,intent,required_slots,slot_values,answer_mode,answer_text,caution_text,question_examples,source_title,source_url,match_keywords
K16,torque,Maximum tightening torque of SSH-M4-SD-EL,product_torque,part_number|nominal_diameter,part_number=SSH-M4-SD-EL|nominal_diameter=M4,answer,The maximum tightening torque of the NBK SSH-M4-SD-EL is 1.7 newton meters.,This value is the manufacturer specification for that part and must not be reused for other parts.,"What is the maximum torque for SSH-M4-SD-EL?||How tight do I do up the SSH-M4-SD-EL?",NBK SSH-SD-EL product specification,https://www.nbk1560.com/images/ja-JP/product/ornament/SSH-SD-EL/SSH-SD-EL_1.pdf,ssh-m4-sd-el||ssh m4 sd el
K17,torque,Maximum tightening torque of SSH-M8-SD-EL,product_torque,part_number|nominal_diameter,part_number=SSH-M8-SD-EL|nominal_diameter=M8,answer,The maximum tightening torque of the NBK SSH-M8-SD-EL is 14 newton meters.,This value is the manufacturer specification for that part and must not be reused for other parts.,"What is the maximum torque for SSH-M8-SD-EL?||How tight do I do up the SSH-M8-SD-EL?",NBK SSH-SD-EL product specification,https://www.nbk1560.com/images/ja-JP/product/ornament/SSH-SD-EL/SSH-SD-EL_1.pdf,ssh-m8-sd-el||ssh m8 sd el
K18,torque,Maximum tightening torque of SSH-M10-SD-EL,product_torque,part_number|nominal_diameter,part_number=SSH-M10-SD-EL|nominal_diameter=M10,answer,The maximum tightening torque of the NBK SSH-M10-SD-EL is 27 newton meters.,This value is the manufacturer specification for that part and must not be reused for other parts.,"What is the maximum torque for SSH-M10-SD-EL?||How tight do I do up the SSH-M10-SD-EL?",NBK SSH-SD-EL product specification,https://www.nbk1560.com/images/ja-JP/product/ornament/SSH-SD-EL/SSH-SD-EL_1.pdf,ssh-m10-sd-el||ssh m10 sd el
K19,torque,Lubrication and clamp load,torque_lubrication,lubrication,lubrication=oiled,answer,"Oil or grease changes the friction, so do not reuse a dry tightening torque as it is.",Check the process standard or the specified value for that part.,"Is the torque the same if there is oil on it?||Does grease change how tight I go?",Tohnichi tightening technical notes,https://www.tohnichi.co.jp/download_services/download?category=download&fid=12&filetype=1&subid=5,oil||oiled||grease||lubricant||wet||dry||friction
K20,torque,Mating material and tightening conditions,torque_mating_material,mating_material,mating_material=aluminium,answer,"When the mating material is aluminium or plastic, do not reuse the tightening conditions used for steel.",Check the process standard that covers the mating material.,"Does the torque change for aluminium?||Is it the same on plastic?",Nitto Seiko on screw fastening,https://www.nittoseiko.co.jp/nitto-blog/2017/08/01/3,aluminium||aluminum||plastic||resin||steel||mating material||what I am screwing into
K21,torque,Washers and bearing surface,torque_washer,washer,washer=plain washer fitted,answer,"Washers and the shape of the bearing surface affect friction, so tighten with the combination that was specified.",Do not add or remove washers on your own.,"Does a washer change the torque?||Can I tighten it with this washer stack?",Tohnichi tool selection criteria,https://www.tohnichi.co.jp/products/download/service_file/24,washer||spacer||bearing surface||under the head
K22,torque,Torque asked from the diameter alone,generic_torque,process_id|part_number|head_marking|lubrication,process_id=process unknown|part_number=part number unknown|head_marking=8.8|lubrication=dry,escalate,The specified tightening torque cannot be determined from the nominal diameter alone.,"If the process, part, head marking and surface condition cannot be identified, do not proceed with tightening.","How many newton meters do I use?||What torque should I set?",ISO 898-1:2013,https://www.iso.org/standard/60610.html,how many newton||what torque||how tight||torque setting
K23,pilot_hole,Tap drill conditions,tap_drill_condition,nominal_diameter|pitch,nominal_diameter=M8|pitch=1.25 millimeters,answer,"To decide the tap drill hole, confirm the nominal diameter and the pitch of the thread.",Give priority to the in-house machining standard including the method and the mating material.,"How do I decide the tap drill?||What pilot hole do I drill before tapping?",ISO 724:2023,https://www.iso.org/standard/85104.html,tap||tap drill||drill before tapping
K24,pilot_hole,Pilot hole for a tapping screw,tapping_pilot_condition,screw_type|mating_material|plate_thickness,screw_type=tapping screw|mating_material=aluminium|plate_thickness=2 millimeters,answer,"A tapping screw pilot hole is decided from the screw type, the mating material, the plate thickness and the engagement length.",Check the manufacturer guideline table or the process standard.,"What pilot hole for this tapping screw?||What hole do I drill in this plate?",Nitto Seiko screw basics,https://www.nittoseiko.co.jp/nitto-blog/2017/08/09/4,pilot hole||tapping screw||plate thickness||what hole||drill
K25,pilot_hole,Pilot hole too large,pilot_too_large,screw_type|symptom,screw_type=tapping screw|symptom=pilot hole too large,answer,"If the pilot hole for a tapping screw is too large, the pull out strength drops and the joint can loosen.",Do not proceed with an out of specification hole. Check the machining standard.,"The pilot hole looks a bit big, is that ok?||Can I carry on with this oversized hole?",Nitto Seiko screw basics,https://www.nittoseiko.co.jp/nitto-blog/2017/08/09/4,hole too large||too big||oversized||loose in the hole||pull out
K26,pilot_hole,Pilot hole too small,pilot_too_small,screw_type|symptom,screw_type=tapping screw|symptom=pilot hole too small,answer,"If the pilot hole for a tapping screw is too small, the driving torque rises and the joint can be defective.",Do not force the screw in. Check the machining standard.,"The pilot hole looks small, is that ok?||It is hard to drive in, is the hole too small?",Nitto Seiko screw basics,https://www.nittoseiko.co.jp/nitto-blog/2017/08/09/4,hole too small||too tight a hole||hard to drive||undersized
K27,trouble,Unusually stiff from the start,early_resistance,symptom|pitch,symptom=stiff from the start|pitch=unknown,stop,"Stop work for now. The pitch may be wrong, the screw may be cross threaded, or there may be debris.",Do not force it in. Check the condition of the screw and the tapped hole.,"It is stiff right from the start.||Something is wrong as I start the screw.",Tohnichi tightening defect factors,https://www.tohnichi.co.jp/products/download/service_file/20,stiff from the start||hard from the beginning||tight straight away||cross thread
K28,trouble,Stainless screw galling,seizing,symptom|screw_type,symptom=suddenly seized|screw_type=stainless screw,stop,Stop work for now. The stainless screw may be galling or seizing.,Do not force it round. Contact your supervisor.,"The screw suddenly stopped turning.||It has jammed halfway in.",NBK about galling,https://static.nbk1560.com/resources/specialscrew/article/nedzicom-topics-01-seizing/,stopped turning||will not turn||seized||jammed||stuck||galling||stainless
K29,trouble,Screw spins without tightening,thread_stripping,symptom,symptom=spins without tightening,stop,Stop work for now. The thread or the mating material may be damaged.,Do not tighten further. Check the screw and the mating material against the replacement criteria.,"It keeps spinning and never tightens.||The screw will not do up.",Tohnichi tightening defect factors,https://www.tohnichi.co.jp/products/download/service_file/20,spins||spinning||never tightens||will not do up||stripped
K30,trouble,Whether a screw can be reused,reuse,part_number|process_id,part_number=part number unknown|process_id=process unknown,escalate,Whether a screw may be reused cannot be decided as a blanket rule.,"Check the part number and the reuse criteria for the process. If there is no criterion, fit a new screw or ask your supervisor.","Can I use this screw again?||Is it ok to refit the screw I took off?",Tohnichi tightening defect factors,https://www.tohnichi.co.jp/products/download/service_file/20,reuse||use it again||use this screw again||screw again||refit||took off||second time
